branch,loop_index,decision,llm_raw_decision_value,llm_raw_decision_parsed,checkpoint_decision,decision_reconciled,observations,hypothesis_evaluation,new_hypothesis,reason,exception,current_ic,current_rank_ic,current_net_arr,baseline_ic,baseline_rank_ic,baseline_net_arr
a20,0,False,no,False,False,True,"The implemented factor set achieves a substantially higher IC than the SOTA: 0.011599 versus 0.001834, an absolute increase of 0.009765 and roughly 6.3 times the SOTA IC. However, this predictive improvement does not translate into portfolio performance. Annualized excess return after costs falls from 5.6066% to -0.7470%, a deterioration of 6.3536 percentage points. Maximum drawdown improves from -8.2008% to -5.4708%, indicating lower realized downside, but this is insufficient to offset the negative annualized return. Because only aggregate results are supplied, it is not possible to determine whether Close_Momentum_5D, Intraday_Return_1D, Parkinson_Volatility_10D, or Volume_Surprise_20D generated the IC improvement or caused the return deterioration. This attribution limitation is especially important because the hypothesis requested separate evaluation.","The hypothesis is only partially supported. The strong IC supports the proposition that at least one of the four simple OHLCV signals contains useful cross-sectional information about future returns. Nevertheless, the negative net annualized return refutes the stronger practical hypothesis that these factors, as currently used, improve an investable strategy over the SOTA. The divergence between IC and realized return may reflect high turnover and transaction costs, weak performance in the portfolio tails, unstable factor direction across regimes, nonlinear relationships not captured by the strategy, or concentration and liquidity effects. Intraday_Return_1D and Volume_Surprise_20D may be particularly sensitive to rapid decay and turnover, while Parkinson_Volatility_10D may primarily control risk rather than produce positive standalone alpha. All four factors were implemented, so they are testable in this run, but factor-level conclusions require separate metrics as originally specified.","Future returns may be better predicted by separating persistent signals from short-lived attention shocks and conditioning them on liquidity and market regime. Test new static factors individually: (1) Overnight_Gap_1D = open_t / close_{t-1} - 1, which separates overnight information from the already-tested open-to-close return; (2) Close_Location_Value_1D = (2 close_t - high_t - low_t) / (high_t - low_t), with missing values when high_t <= low_t, to measure where buying pressure finishes within the daily range; and (3) Volume_Price_Confirmation_20D = sign(close_t / close_{t-5} - 1) multiplied by the current log-volume deviation from the prior 20-day mean, to distinguish volume-confirmed moves from unconfirmed moves. Evaluate each factor separately and retain only factors that improve net annualized return when added to the existing SOTA library.","The high IC indicates that abandoning OHLCV-derived signals entirely would be premature, but the large annual-return gap calls for a different signal structure rather than merely repeating the same lookbacks. Overnight_Gap_1D decomposes daily price discovery into overnight and intraday components and may have a different persistence or reversal profile from Intraday_Return_1D. Close_Location_Value_1D normalizes buying pressure by the contemporaneous range, potentially providing better cross-sectional comparability than raw open-to-close returns. Volume_Price_Confirmation_20D uses attention only when interpreted alongside price direction, which may reduce the ambiguity of standalone volume surprises. Before further iteration, report factor-level IC, rank IC, IC stability, gross and net annualized return, turnover, drawdown, and long-short quantile returns. Also verify that signals using day-t close, high, low, or volume are traded no earlier than the next session to prevent timing leakage. Given the IC-return mismatch, turnover controls, liquidity filters, winsorization, cross-sectional ranking, and regime breakdowns should be tested during portfolio construction rather than treated as new copies of factors already admitted to the SOTA library.",,0.0115985962303683,0.0071692432537473,-0.0074702899965882,0.0018338132376232,-0.0043907566574781,0.0560662023796822
a20,1,True,yes,True,True,True,"The implemented factor set materially outperformed the existing SOTA. IC increased from 0.001834 to 0.019438, an absolute gain of 0.017604 and roughly a 10.6-fold increase. After-cost annualized excess return rose from 5.6066% to 8.2583%, an improvement of 2.6517 percentage points, or approximately 47.3%. Maximum drawdown also improved from -8.2008% to -5.9941%, reducing drawdown magnitude by 2.2067 percentage points. Thus, the result is better on predictive strength, return, and downside risk rather than achieving higher return through greater drawdown.","The combined result strongly supports the hypothesis that these daily price-structure signals provide useful incremental information for predicting subsequent returns. All three factors had Factor Implementation=True, so the implemented set was testable. However, only combined metrics are reported, despite the target stating that the factors should be tested separately. Therefore, this run verifies the joint incremental value of Overnight_Gap_1D, Close_Location_Value_1D, and Close_Momentum_20D when added to the SOTA library, but it does not identify which individual factor contributed most or whether every factor is independently beneficial. The one-session availability constraint is appropriate for preventing completed-day open/high/low/close information from being used during the same session, assuming the downstream Qlib feature alignment enforces that lag.","After retaining these factors in the SOTA library, test an orthogonal volume-confirmed price-discovery factor: the interaction between overnight gap direction, intraday closing pressure, and a statically defined abnormal-volume measure, such as current volume divided by its trailing 20-observation mean. Large gaps followed by strong same-direction closing pressure on unusually high volume may exhibit continuation, whereas unsupported gaps may reverse. Implement this as a new single factor with a fixed 20-observation volume window and a one-session signal lag.","The large IC and annualized-return improvements indicate that overnight price discovery, intraday range positioning, and medium-term trend contain complementary information. A logical next step is not to recreate these successful factors, since they will enter the SOTA library, but to distinguish economically meaningful price moves from low-conviction noise using volume confirmation. Per-factor ablations should also be run for attribution: evaluate each new factor added individually to the updated SOTA library and then test pairwise or interaction additions. Cross-sectional winsorization or ranking may improve robustness against extreme gap and momentum observations, but raw and transformed versions should be treated as separate static factors. Performance should additionally be checked by year, volatility regime, liquidity bucket, turnover, and transaction-cost sensitivity to ensure that the gain is stable rather than concentrated in a small period or subset of instruments.",,0.0194381784836631,0.0151608069601922,0.0825825884049168,0.0018338132376232,-0.0043907566574781,0.0560662023796822
a20,2,False,no,False,False,True,"The implemented Gap_Confirmation_Volume_20D factor did not improve the retained SOTA library. Current IC is 0.012326 versus 0.019438 for SOTA, a decline of 0.007112 (36.6%). Annualized excess return after costs fell from 0.082583 to -0.003973, a deterioration of 0.086556, or 8.66 percentage points. Maximum drawdown worsened from -0.059941 to -0.081643, increasing drawdown magnitude by 0.021702, or 2.17 percentage points. Thus, the combined model lost predictive strength and produced slightly negative after-cost performance with greater downside risk.","The result refutes the hypothesis that adding this specific volume-confirmed overnight-gap factor provides incremental value to the three successful Trial 2 factors. Because Factor Implementation is true, the factor was testable in this run. Its addition coincides with lower IC, sharply lower annualized return, and worse drawdown. The raw current-volume-to-prior-20-day-mean ratio may amplify outliers, event-driven volume, illiquidity effects, and adjustment-related gaps. The same-day CLV confirmation may also describe information already incorporated by the close rather than information that persists into the next session. With the required one-session availability lag, the signal may decay before it can be acted upon. The existing SOTA factors should remain in the library, but Gap_Confirmation_Volume_20D should not be admitted in its present form.","Overnight gaps may become incrementally predictive only after separating ordinary market-driven gaps from instrument-specific surprise and controlling the unstable scale of relative volume. Test a new factor based on an instrument's overnight gap residual relative to the daily cross-sectional market gap, normalized by prior realized range volatility, and interact it with a bounded log-relative-volume transformation. Use fixed historical windows and a one-session availability lag.","The weak IC suggests that the original economic intuition contains limited signal, while the severe portfolio deterioration indicates poor robustness or harmful interactions with the SOTA library. A raw volume ratio is unbounded and can allow a small number of observations to dominate model fitting. A bounded transformation such as tanh(log((V_t + epsilon)/(mean_prior20 + epsilon))) would reduce this sensitivity. Removing the market-wide component of the overnight gap could isolate stock-specific information rather than broad overnight moves, while normalization by prior-only realized volatility would make values more comparable across instruments. As a diagnostic before another combined backtest, evaluate the candidate's standalone and incremental IC, rank IC, turnover, coverage, tail distribution, and correlation with every SOTA factor. Also test whether positive and negative gaps behave asymmetrically; if so, define separate static positive-gap and negative-gap factors rather than embedding both regimes in one signal.",,0.0123263171518522,0.0056954531368414,-0.0039727454556642,0.0194381784836631,0.0151608069601922,0.0825825884049168
a20,3,False,no,False,False,True,"The combined experiment materially underperformed the SOTA on every reported metric. IC fell from 0.019438 to 0.009602, a decline of approximately 50.6%. Annualized excess return after costs dropped from 0.082583 to 0.007948, a decline of approximately 90.4%. Maximum drawdown worsened from -0.059941 to -0.098003, increasing drawdown magnitude by approximately 63.5%. Thus, Skip5_Momentum_60D added little predictive value and substantially weakened portfolio performance despite retaining a positive IC and positive annualized return.","The tested portion of the hypothesis is refuted: independently adding Skip5_Momentum_60D to the retained SOTA library does not improve the existing result and should not be admitted to the SOTA factor library. Its weak positive IC suggests delayed long-term momentum contains some information, but that information is likely redundant with existing successful factors, unstable across regimes, or too weak after transaction costs and portfolio construction. The recommendation to retain the three previously successful Trial 2 factors remains consistent with the library logic, but this run does not independently retest their individual contributions. Likewise, discarding Gap_Confirmation_Volume_20D cannot be newly verified here because it was not implemented in this experiment.","Explore a distinct trend-quality factor rather than another raw momentum horizon: Trend_Efficiency_60D = abs($close_{t-5}/$close_{t-60}-1) divided by the sum of absolute one-session close returns from t-60 through t-5, multiplied by the sign of the 55-session return. Use exactly 60 prior instrument-specific observations, a fixed five-session recent skip, require all 60 closes to be finite and strictly positive, and apply a fixed one-session availability lag. This factor tests whether smooth, persistent trends predict future returns better than the magnitude of delayed momentum alone.","The large gap to SOTA warrants changing direction rather than testing nearby raw momentum variants. Skip5_Momentum_60D measures only endpoint return and cannot distinguish a stable trend from a volatile round trip ending at the same return. A signed trend-efficiency measure introduces path information and may be more orthogonal to momentum factors already present in the SOTA library. It could suppress noisy or reversal-prone securities while preserving directional information from orderly trends. Future evaluation should compare its incremental IC, annualized excess return after costs, drawdown, turnover, and correlation with existing SOTA factors. The failed Skip5_Momentum_60D should not be reimplemented unchanged.",,0.0096024681435417,0.0041084705652281,0.0079480528498991,0.0194381784836631,0.0151608069601922,0.0825825884049168
a20,4,False,no,False,False,True,"The implemented factor materially deteriorated the combined result. IC fell from 0.019438 to 0.014132, a decline of 0.005306 or approximately 27.3%. Annualized excess return after costs declined by 0.092826, from 8.2583% to -1.0243%, while maximum drawdown worsened from -5.9941% to -8.6598%. Thus, the new combined model lost money after costs and had both weaker predictive correlation and greater downside risk.","The result refutes the hypothesis that Signed_Trend_Efficiency_60D_Skip5 adds useful incremental information to the retained Trial 2/SOTA factor library in its present form. Factor Implementation is True, so the hypothesis was testable in this run. Although the resulting IC remains positive, it is substantially below the SOTA IC and does not translate into profitable portfolio performance. The large annualized-return deterioration suggests that the factor is redundant with existing trend signals, unstable across regimes, poorly aligned with the prediction horizon, or harmful through model interactions and turnover-sensitive ranking changes. The result does not prove that path efficiency has no standalone predictive content, but it clearly shows that this exact 60-observation, five-session-skip, signed specification should not be added to the SOTA library.","Change to an orthogonal price-formation direction: the 20-session overnight-versus-intraday return spread may predict subsequent returns more effectively than another medium-term trend factor. Test a static Overnight_Intraday_Spread_20D_Lag1 factor defined as the mean of ln(Open[d]/Close[d-1]) minus the mean of ln(Close[d]/Open[d]) over exactly the 20 completed instrument-specific sessions t-20 through t-1, requiring all necessary adjusted opens and closes to be finite and positive, with a fixed one-session availability lag.","The significant gap from SOTA argues against continuing to tune only the same signed medium-term trend-efficiency construction. Its bounded normalization can suppress trend magnitude, while the 60-day horizon and five-day skip may overlap heavily with momentum information already present in the retained library. Overnight and intraday returns represent different trading mechanisms, investor groups, and information-arrival periods, making their spread more likely to be incremental. Before abandoning the current direction entirely, run diagnostic ablations outside the SOTA replacement decision: compare the retained library alone against the library plus this factor, inspect cross-sectional IC by year and volatility regime, measure correlation and feature importance against existing factors, and evaluate turnover and long-short decile monotonicity. These diagnostics can determine whether the damage comes from redundancy, regime-dependent sign reversals, or model overfitting. Any future path-efficiency variant should introduce genuinely new conditioning, such as volatility-regime interaction or upside/downside path asymmetry, rather than merely repeating the same factor with another nearby window.",,0.0141315786648421,0.0103118423949809,-0.0102431152772574,0.0194381784836631,0.0151608069601922,0.0825825884049168
a20,5,False,no,False,False,True,"The implemented Overnight_Intraday_Spread_20D_Lag1 factor did not improve the existing SOTA library. IC declined from 0.019438 to 0.013252, a reduction of 0.006186 (31.82%). Annualized excess return after costs fell from 8.2583% to -1.6411%, a deterioration of 9.8994 percentage points and a reversal from positive to negative performance. Maximum drawdown also worsened from -5.9941% to -7.3134%, an increase of 1.3193 percentage points in drawdown magnitude. Thus, the combined result is materially inferior across predictive strength, return, and downside risk.","The experiment refutes the incremental-value portion of the hypothesis: adding the independently implemented 20-session lagged overnight-versus-intraday spread to the retained SOTA factors substantially degraded results. The factor may capture a weak or unstable return decomposition, overlap adversely with factors already in the SOTA library, or induce harmful model interactions. The result supports neither inclusion of this factor nor replacement of the current SOTA. The policy of retaining the three previously successful Trial 2 factors remains appropriate because they constitute the superior benchmark, while the prior decisions to exclude the failed volume-confirmation and 60-day trend factors are not independently re-tested by this run.","Move away from the raw 20-day mean overnight-minus-intraday spread and test a distinct lagged price-path factor: Intraday_Close_Location_Reversal_10D_Lag1, defined as the negative 10-session arithmetic mean of (2*Close-High-Low)/(High-Low), using exactly sessions t-10 through t-1, with a one-session lag and requiring finite positive OHLC values and strictly positive daily ranges. This may identify persistent closing-price pressure that subsequently reverses while avoiding direct reuse of the failed overnight/intraday decomposition.","The large annualized-return gap indicates that minor tuning of the same 20-day spread is unlikely to be the highest-value next step. Although the spread has positive standalone-looking IC in absolute terms, its addition reduces the combined IC and turns net excess return negative, suggesting redundancy, instability, unfavorable exposure, or poor interaction with the retained factors. A close-location factor uses independent information from the daily high-low path and distinguishes whether trading pressure persists into the close. Applying a fixed lag prevents day-t leakage, while a shorter but exact 10-session window can capture more transient microstructure behavior. Future diagnostics should also measure the new factor's cross-sectional correlation and incremental IC relative to each SOTA factor before a full backtest, because the current result demonstrates that a positive raw IC alone does not guarantee portfolio-level improvement.",,0.0132516066581642,0.007924158835661,-0.0164112309290776,0.0194381784836631,0.0151608069601922,0.0825825884049168
a20,6,False,no,False,False,True,"Downside_Volatility_20D_Lag1 was implemented and therefore is testable in this run. The combined result deteriorated across all reported metrics. IC decreased from 0.019438 to 0.014372, a decline of 0.005066 or approximately 26.1%. Annualized excess return after costs decreased from 0.082583 to 0.044909, a decline of 0.037674 or approximately 45.6%. Maximum drawdown worsened from -0.059941 to -0.086406; drawdown magnitude increased by 0.026465 or approximately 44.2%. This is a substantial gap rather than a minor variation.","The result refutes the incremental-value portion of the hypothesis. Adding the independently tested 20-session lagged downside-volatility factor to the retained SOTA library did not improve the existing factor combination and materially harmed return, IC, and drawdown. Thus, Downside_Volatility_20D_Lag1 should be rejected from the SOTA library. The experiment is consistent with continuing to retain the previously successful Trial 2 factors and excluding failed additions, but it does not separately re-establish their standalone value because the reported metrics are for the combined experiment. Raw downside volatility may be redundant with volatility or risk-related signals already in the library, may primarily identify persistently distressed instruments, or may have a nonlinear and regime-dependent return relationship that is not beneficial as an unconditional feature.","Test a fixed lagged downside-variance-share factor rather than another raw downside-volatility level: Downside_Variance_Share_20D_Lag1 = sum(min(r_d, 0)^2) / sum(r_d^2), using exactly the 20 completed log returns from t-20 through t-1 and exactly 21 finite positive closes from t-21 through t-1, with no day-t data or partial windows. Return NaN when the total squared-return denominator is zero. This measures the asymmetry of recent variation rather than its absolute scale.","The failed factor combines two effects: overall volatility magnitude and the fraction of volatility attributable to losses. The overall magnitude component is likely redundant with existing risk factors and can lead to undesirable exposure to distressed or illiquid stocks. Normalizing downside variance by total variance removes much of that scale exposure and isolates whether recent realized variation has been disproportionately negative. This could complement the retained factors better than raw downside volatility. It should be introduced as one new static factor with fixed 20-session window and one-session lag, while the rejected raw factor should not be reimplemented. If this normalized asymmetry direction also produces a large performance gap, exploration should move away from close-only downside risk toward a distinct direction such as lagged volume-confirmed price behavior.",,0.0143715497121579,0.0104093812919268,0.0449092166167937,0.0194381784836631,0.0151608069601922,0.0825825884049168
a20,7,False,no,False,False,True,"The implemented Chaikin_Money_Flow_20D_Lag1 factor did not improve the retained SOTA library. IC declined from 0.019438 to 0.007828, a decrease of 0.011610 (approximately 59.7%). Net annualized excess return fell from 8.2583% to -3.6737%, a deterioration of 11.932 percentage points and a reversal from positive to negative performance. Maximum drawdown worsened from -5.9941% to -10.2831%, increasing drawdown magnitude by 4.289 percentage points. Thus, both predictive quality and portfolio performance deteriorated materially.","The result refutes the hypothesis that adding the precisely lagged 20-session Chaikin Money Flow factor provides incremental value to the three successful Trial 2 factors. Because Factor Implementation is True, this factor was testable in the run. Its addition is associated with substantially lower IC, negative annualized excess return after costs, and a deeper drawdown. The close-location-weighted volume signal may be redundant with existing price-volume factors, unstable after adjustment, or may capture short-term accumulation that does not translate into the tested forward-return horizon. The large deterioration from one added feature also warrants a same-seed ablation check to confirm that the SOTA library, model configuration, universe, and training periods were otherwise identical. The failed factor should be excluded from the SOTA library.","Change to an orthogonal price-dislocation direction and test Lagged_Overnight_Gap_Reversal_5D_Lag1. For each instrument and label day t, define the signal as the negative mean of five completed-session overnight gaps: -(1/5) * sum over d=t-5 through t-1 of (Open_d / Close_{d-1} - 1). The aggregation window is exactly 5 completed sessions, the newest open is from t-1, and the calculation requires source observations from t-6 through t-1. Require finite adjusted open and prior-close values, strictly positive prices, no skipped observations, and no partial windows. This tests whether recent overnight price dislocations reverse without reintroducing the failed Chaikin construction.","The CMF level combines close location and volume over a relatively long window, which can overlap with momentum, liquidity, and accumulation/distribution information already present in the retained factor library. The severe gap to SOTA favors a genuinely different signal family rather than another immediate CMF variant. Overnight gaps separate information incorporated between sessions from intraday trading pressure and may therefore be more orthogonal to existing factors. If this new direction is tested, evaluate its marginal IC, annualized return after costs, turnover, and drawdown against the unchanged SOTA under identical seeds. Separately, verify the CMF implementation with distribution and coverage diagnostics, including the expected range, NaN rate, instrument-level continuity, and confirmation that rolling calculations are shifted by exactly one session; these checks are diagnostic only and do not justify retaining the failed factor.",,0.0078283502679853,0.0028112278367632,-0.0367374139526063,0.0194381784836631,0.0151608069601922,0.0825825884049168
a20,8,False,no,False,False,True,"The implemented Lagged_Overnight_Gap_Reversal_5D_Lag1 factor did not improve the retained SOTA factor library. Current IC declined to 0.013101 from 0.019438, a decrease of approximately 32.6%. Annualized excess return after costs fell sharply to 0.023365 from 0.082583, a decrease of 0.059218, or approximately 71.7%. Maximum drawdown improved only marginally from -0.059941 to -0.059443, an absolute improvement of 0.000498. This very small drawdown benefit is insufficient to offset the substantial deterioration in predictive strength and annualized return.","Because Factor Implementation is True, the proposed factor was testable in this run. The result refutes the hypothesis that independently adding the exact five-session, one-session-lagged overnight-gap reversal signal improves the successful Trial 2 library. The fixed contrarian transformation may be too coarse: overnight gaps can reflect persistent information rather than temporary overreaction, and averaging their signed values across five sessions can cancel event-specific signals. Under the stated iteration rules, retain the existing successful SOTA factors but exclude Lagged_Overnight_Gap_Reversal_5D_Lag1 from the SOTA library. The slight maximum-drawdown improvement does not justify inclusion because annualized return, the primary replacement criterion, deteriorated materially.","Test an event-selective overnight-gap reversal factor rather than another unconditional mean-gap variant. One candidate is Lagged_Large_Overnight_Gap_Reversal_20D_ZScore_Lag1: calculate each completed session's overnight return as O_d/C_{d-1}-1; using exactly 20 completed overnight returns from t-20 through t-1, compute the mean and population standard deviation; assign at day t the negative z-score of the latest completed overnight return, -(g_{t-1}-mean(g_{t-20:t-1}))/std(g_{t-20:t-1}), but only when its absolute z-score is at least 1.5, otherwise assign 0. Require all 20 opens from t-20 through t-1 and preceding closes from t-21 through t-2 to be finite and strictly positive, require a finite strictly positive standard deviation, permit no partial windows or missing-value skipping, and exclude all day-t data. This is a static 20-session normalization window with a fixed one-session lag and a fixed 1.5-standard-deviation event threshold.","The failed factor assumes every overnight gap over the prior five sessions contributes equally to reversal. That can mix ordinary noise, information-driven gaps that continue, and genuinely excessive gaps that reverse. The proposed direction focuses only on unusually large overnight moves relative to each instrument's own recent gap distribution, while preserving strict lagging and source-data validity. It also avoids duplicating the already tested unconditional five-day mean. If event-selective reversal still fails, the next direction should test overnight-gap continuation or condition the sign on prior-day intraday return, because the weak IC suggests that unconditional contrarian treatment may have the wrong economic sign in much of the sample.",,0.0131014179053551,0.0080585599004264,0.0233646810466763,0.0194381784836631,0.0151608069601922,0.0825825884049168
a20,9,False,no,False,False,True,"The combined result deteriorated across every reported metric. IC decreased from 0.019438 to 0.018490, a decline of 0.000948 (approximately 4.88%). Net annualized excess return decreased from 0.082583 to 0.073117, a decline of 0.009466, or about 11.46% relative to SOTA. Maximum drawdown worsened from -0.059941 to -0.066813, increasing drawdown magnitude by 0.006872. Because Range_Normalized_Intraday_Body_1D was implemented and tested, its incremental contribution can be evaluated in this run.","The result refutes the hypothesis that adding the raw one-day range-normalized intraday body to the retained Trial 2 factor library improves the combined strategy. It reduced predictive IC, net annualized return, and drawdown quality. The signal may be too noisy, largely redundant with existing price-action factors, or unstable across market regimes. Its bounded construction also treats low-range and high-range sessions similarly even though their information content can differ substantially. Retain the existing SOTA factors, but exclude this raw factor from the SOTA library. Also verify that the one-session availability rule was implemented either by shifting the factor within each instrument or through an equivalent Qlib feature/label alignment; same-session use would violate the stated hypothesis.","Intraday directional conviction is more useful only when confirmed by unusual trading activity and meaningful realized range. Test a new, statically defined 20-session confirmation factor that interacts the lagged one-day signed body ratio with lagged abnormal volume and range expansion. For example: Body_Activity_Confirmation_20D at session t equals ((Close_t-Open_t)/(High_t-Low_t)) multiplied by log(Volume_t/median(Volume_{t-19:t})) and multiplied by ((High_t-Low_t)/median(High-Low over t-19:t)), subject to finite positive OHLC and volume, High_t > Low_t, positive rolling medians, exactly 20 valid observations, and a one-session availability lag. Winsorization or cross-sectional ranking should not be added to this initial fixed specification.","The raw body ratio discards the absolute economic significance of the session's movement. A large body fraction on an exceptionally quiet, narrow-range day may be mostly noise, while the same ratio during range expansion and abnormal volume may represent informed order flow or persistent repricing. Conditioning the signal on both participation and range expansion may reduce false conviction signals and add information that is less redundant with the existing SOTA library. If this interaction still trails SOTA materially, change direction toward overnight-versus-intraday return decomposition or liquidity-shock/reversal factors rather than testing additional cosmetic transformations of the failed raw body ratio.",,0.0184895861000059,0.0127636598309517,0.0731172115704085,0.0194381784836631,0.0151608069601922,0.0825825884049168
