target_industry,task,fold_id,feature_bank_version,probe_contract_id,fixed_params_hash,hyperparameter_search_used,early_stopping_used,metric_selection_used,fold_2024_used_for_probe_selection,train_rows,train_positive_count,validation_rows,validation_positive_count,distinct_instruments,distinct_instrument_years,feature_count,model_fit_sanity_pass,prediction_std_sanity_pass,trainability_guardrail_pass,failed_predicate,path_extraction_allowed,pass,counterfactual_role
电子,launch_winner,fold_2021,v1_reference,explore10c_fixed_lightgbm_no_inner_validation,55dfe5ac54f3b08a,False,False,False,False,643,277,412,53,24,68,160,True,True,True,,False,True,v1_vs_v2_trainability_diagnostic_only
电子,launch_winner,fold_2022,v1_reference,explore10c_fixed_lightgbm_no_inner_validation,55dfe5ac54f3b08a,False,False,False,False,1033,360,356,10,24,84,160,True,True,True,,False,True,v1_vs_v2_trainability_diagnostic_only
电子,launch_winner,fold_2023,v1_reference,explore10c_fixed_lightgbm_no_inner_validation,55dfe5ac54f3b08a,False,False,False,False,1425,362,372,31,25,98,160,True,True,True,,False,True,v1_vs_v2_trainability_diagnostic_only
电子,launch_winner,fold_2021,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,55dfe5ac54f3b08a,False,False,False,False,643,277,412,53,24,68,81,True,True,True,,True,True,v1_vs_v2_trainability_diagnostic_only
电子,launch_winner,fold_2022,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,55dfe5ac54f3b08a,False,False,False,False,1033,360,356,10,24,84,81,True,True,True,,True,True,v1_vs_v2_trainability_diagnostic_only
电子,launch_winner,fold_2023,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,55dfe5ac54f3b08a,False,False,False,False,1425,362,372,31,25,98,81,True,True,True,,True,True,v1_vs_v2_trainability_diagnostic_only
电子,failure_reject,fold_2021,v1_reference,explore10c_fixed_lightgbm_no_inner_validation,55dfe5ac54f3b08a,False,False,False,False,2175,644,1200,633,24,70,163,True,True,True,,False,True,v1_vs_v2_trainability_diagnostic_only
电子,failure_reject,fold_2022,v1_reference,explore10c_fixed_lightgbm_no_inner_validation,55dfe5ac54f3b08a,False,False,False,False,3349,1240,1039,606,24,85,163,True,True,True,,False,True,v1_vs_v2_trainability_diagnostic_only
电子,failure_reject,fold_2023,v1_reference,explore10c_fixed_lightgbm_no_inner_validation,55dfe5ac54f3b08a,False,False,False,False,4459,1917,1043,541,25,98,163,True,True,True,,False,True,v1_vs_v2_trainability_diagnostic_only
电子,failure_reject,fold_2021,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,55dfe5ac54f3b08a,False,False,False,False,2175,644,1200,633,24,70,81,True,True,True,,True,True,v1_vs_v2_trainability_diagnostic_only
电子,failure_reject,fold_2022,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,55dfe5ac54f3b08a,False,False,False,False,3349,1240,1039,606,24,85,81,True,True,True,,True,True,v1_vs_v2_trainability_diagnostic_only
电子,failure_reject,fold_2023,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,55dfe5ac54f3b08a,False,False,False,False,4459,1917,1043,541,25,98,81,True,True,True,,True,True,v1_vs_v2_trainability_diagnostic_only
