artifact_id,resolved_path,required_flag,lineage_role,row_count,sha256,required_columns,missing_columns,schema_status,read_status,input_gate_status,blocking_reason
decision_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/winner_path_shape_taxonomy_decision.csv,True,15B background decision guard,1,505cfa8069e2c2846b27bfac9e87390cbbbbad63cb62bde87076bb5a3f7a581a,decision_state|next_allowed_requirement,,pass,pass,pass,
rule_audit_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/path_shape_taxonomy_rule_audit.csv,True,15B frozen taxonomy rule and medoid scaler,30,1811bd5a42dea311be07b554b45041df4b5372738e4600ef2ed3a44bf60f5770,rule_type|feature_id|value|scale|train_rule_fit_status,,pass,pass,pass,
taxonomy_assignment_panel_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/local_cache/15B_winner_path_shape_taxonomy_diagnostic/taxonomy_assignment_panel.parquet,True,15B anchor-level path type source priority 1,419998,328e7b43204fc9ab9457d870af8a5bfe09fd734e2b8fba1fdadb29d3b5a679ce,source_row_key|instrument|reference_date|row_id|split_bucket|threshold_id|threshold_return|episode_cluster_id|cluster_split_bucket|touches_multiple_split_buckets|touches_multiple_calendar_split_buckets|entry_pos|first_threshold_hit_pos|segment_start_pos|segment_end_pos|entry_price|time_to_threshold_sessions|path_efficiency|max_drawdown_before_hit|max_drawdown_before_hit_abs|underwater_days_share|directional_entropy_5state|trend_line_r2|top1_positive_gain_share|top3_positive_gain_share|log_time_to_threshold|path_type|path_shape_quality|wick_hit_only,,pass,pass,pass,
winner_episode_cluster_membership_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/winner_episode_cluster_membership_audit.csv,True,cluster interval and split-boundary proof,417131,5a71dea1f987b59ce09d5c3923f5ab0596def4bb6ac0463192ab8954873a5267,source_row_key|instrument|reference_date|row_id|split_bucket|threshold_id|path_winner|is_censored|episode_cluster_id|cluster_start_pos|cluster_end_pos|cluster_split_bucket|touches_multiple_split_buckets|touches_multiple_calendar_split_buckets|ret_20d|ret_60d|distance_to_20d_high|distance_to_20d_low|distance_to_60d_high|trend_ma_20_60_spread|rebound_from_20d_low|vol_compression_20d_60d|volatility_20d,,pass,pass,pass,
representative_audit_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/representative_anchor_audit.csv,True,15B representative disagreement baseline,2867,a6ca8a52a95add5b2d211b0fa2ad864a49b2d9d08af876dd7b37a16e877fe795,threshold_id|episode_cluster_id|representative_taxonomy_disagreement|cluster_internal_path_type_entropy,,pass,pass,pass,
split_overlap_audit_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/split_overlap_audit.csv,True,split boundary proof,2867,2c4cf4b8b55295125069e3bbcc0cc64de69cfb4855a41e39039f6ced49aa3b93,episode_cluster_id|split_overlap_status,,pass,pass,pass,
upstream_lineage_audit_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/upstream_lineage_audit.csv,True,15B inherited upstream lineage proof,6,95ed0197b08ad150334a136c5411331a14888d450991fc06451eadb3f4d3186b,lineage_status,,pass,pass,pass,
price_path_completeness_audit_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/price_path_completeness_audit.csv,True,15B inherited price path proof,1449,8bc7b1d30a67318c5b445385ea00ee4e4981b639388917c8d72bd121fd19e783,price_path_status,,pass,pass,pass,
search_accounting_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/search_accounting_audit.csv,True,15B search accounting guard,1,c35350d9113ca2ee0f7ff37d36c612cf1e275034ad73ebe9545ee25ed1a448f5,search_accounting_status,,pass,pass,pass,
path_shape_feature_panel_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/local_cache/15B_winner_path_shape_taxonomy_diagnostic/anchor_path_shape_feature_panel.parquet,False,fallback priority 2 anchor feature source,417131,097c692e4963b24e1c188280f81f156cf924d4371e7aa961e2f8437959408e8a,,,pass,pass,pass,
native_universe_panel_13a,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13A_full_pit_native_token_cartography_preflight/native_universe_panel.parquet,True,PIT-observable morphology source,431239,a9557622571efe0a06ac20f9d0fcddc1a987810febc850d0f973df242e74cd2e,instrument|reference_date|row_id|reference_pos|ret_20d|ret_60d|distance_to_20d_high|distance_to_20d_low|distance_to_60d_high|trend_ma_20_60_spread|rebound_from_20d_low|vol_compression_20d_60d|volatility_20d,,pass,pass,pass,
config_15b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/configs/config_15b_winner_path_shape_taxonomy_diagnostic.yaml,True,15B config lineage,34,1eb70d0a38458c0882ef49897d8ced454e1b22e81001ff044084d7ce692b4240,,,pass,pass,pass,
