industry,task,fold_id,fold_role,contract_id,p0_9a_fold_trainability_status,p0_9a_trainability_rejection_reason,trainable_under_locked_t1,trained_model_exists,allowed_for_core_oof_metric,allowed_for_support_count,allowed_for_manual_primitive_candidate,core_expected_fold_count,core_trainable_fold_count,core_missing_fold_ids,no_fit_reason,scope_lock_pass
汽车,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T1_fixed_rounds_no_inner_validation,not_trainable_due_to_cross_section,train_distinct_instrument_years,False,False,False,False,False,4,3,,train_distinct_instrument_years,True
汽车,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T1_fixed_rounds_no_inner_validation,trainable_under_safe_probe,,True,True,True,True,True,4,3,,,True
汽车,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T1_fixed_rounds_no_inner_validation,trainable_under_safe_probe,,True,True,True,True,True,4,3,,,True
汽车,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T1_fixed_rounds_no_inner_validation,trainable_under_safe_probe,,True,True,True,True,True,4,3,,,True
汽车,industry_failure_reject_score_lgbm,fold_2020,core_trainability_probe,T1_fixed_rounds_no_inner_validation,trainable_under_safe_probe,,True,True,True,True,True,4,4,,,True
汽车,industry_failure_reject_score_lgbm,fold_2021,core_trainability_probe,T1_fixed_rounds_no_inner_validation,trainable_under_safe_probe,,True,True,True,True,True,4,4,,,True
汽车,industry_failure_reject_score_lgbm,fold_2022,core_trainability_probe,T1_fixed_rounds_no_inner_validation,trainable_under_safe_probe,,True,True,True,True,True,4,4,,,True
汽车,industry_failure_reject_score_lgbm,fold_2023,core_trainability_probe,T1_fixed_rounds_no_inner_validation,trainable_under_safe_probe,,True,True,True,True,True,4,4,,,True
电子,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T1_fixed_rounds_no_inner_validation,not_trainable_due_to_cross_section,train_distinct_instrument_years;train_event_count_after_purge,False,False,False,False,False,4,3,,train_distinct_instrument_years;train_event_count_after_purge,True
电子,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T1_fixed_rounds_no_inner_validation,trainable_under_safe_probe,,True,True,True,True,True,4,3,,,True
电子,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T1_fixed_rounds_no_inner_validation,trainable_under_safe_probe,,True,True,True,True,True,4,3,,,True
电子,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T1_fixed_rounds_no_inner_validation,trainable_under_safe_probe,,True,True,True,True,True,4,3,,,True
电子,industry_failure_reject_score_lgbm,fold_2020,core_trainability_probe,T1_fixed_rounds_no_inner_validation,trainable_under_safe_probe,,True,True,True,True,True,4,4,,,True
电子,industry_failure_reject_score_lgbm,fold_2021,core_trainability_probe,T1_fixed_rounds_no_inner_validation,trainable_under_safe_probe,,True,True,True,True,True,4,4,,,True
电子,industry_failure_reject_score_lgbm,fold_2022,core_trainability_probe,T1_fixed_rounds_no_inner_validation,trainable_under_safe_probe,,True,True,True,True,True,4,4,,,True
电子,industry_failure_reject_score_lgbm,fold_2023,core_trainability_probe,T1_fixed_rounds_no_inner_validation,trainable_under_safe_probe,,True,True,True,True,True,4,4,,,True
