seed,split,board_bucket,calendar_month,calendar_quarter,requested_selected_n,available_random_n,sampled_random_n,shortfall_n,cell_support_status,baseline_id,baseline_family_id,replay_step,realized_cell_grain,fallback_used_flag,replacement_used_flag,duplicate_rate,random_row_uid_duplicate_n,stage1_X
120600,robustness,chinext,2024-03,2024Q1,7,89,7,0,pass,strict_exact_cell_replay,strict_exact_cell_replay,stage1_keep,month,False,False,0.0,0,0.2
120600,robustness,chinext,2024-04,2024Q2,12,60,12,0,pass,strict_exact_cell_replay,strict_exact_cell_replay,stage1_keep,month,False,False,0.0,0,0.2
120600,robustness,chinext,2024-05,2024Q2,10,49,10,0,pass,strict_exact_cell_replay,strict_exact_cell_replay,stage1_keep,month,False,False,0.0,0,0.2
120600,robustness,chinext,2024-09,2024Q3,2,56,2,0,pass,strict_exact_cell_replay,strict_exact_cell_replay,stage1_keep,month,False,False,0.0,0,0.2
120600,robustness,chinext,2024-11,2024Q4,4,77,4,0,pass,strict_exact_cell_replay,strict_exact_cell_replay,stage1_keep,month,False,False,0.0,0,0.2
120600,robustness,chinext,2024-12,2024Q4,10,48,10,0,pass,strict_exact_cell_replay,strict_exact_cell_replay,stage1_keep,month,False,False,0.0,0,0.2
120600,robustness,chinext,2025-02,2025Q1,15,73,15,0,pass,strict_exact_cell_replay,strict_exact_cell_replay,stage1_keep,month,False,False,0.0,0,0.2
120600,robustness,chinext,2025-03,2025Q1,14,40,14,0,pass,strict_exact_cell_replay,strict_exact_cell_replay,stage1_keep,month,False,False,0.0,0,0.2
120600,robustness,chinext,2025-04,2025Q2,3,4,3,0,pass,strict_exact_cell_replay,strict_exact_cell_replay,stage1_keep,month,False,False,0.0,0,0.2
120600,robustness,chinext,2025-05,2025Q2,12,28,12,0,pass,strict_exact_cell_replay,strict_exact_cell_replay,stage1_keep,month,False,False,0.0,0,0.2
120600,robustness,chinext,2025-06,2025Q2,34,85,34,0,pass,strict_exact_cell_replay,strict_exact_cell_replay,stage1_keep,month,False,False,0.0,0,0.2
120600,robustness,chinext,2025-07,2025Q3,41,92,41,0,pass,strict_exact_cell_replay,strict_exact_cell_replay,stage1_keep,month,False,False,0.0,0,0.2
