artifact_key,artifact_role,required_flag,resolver_alias,resolved_path,relative_path,source_experiment_id,source_phase_id,row_count,sha256,schema_status,read_status,absolute_path_mismatch_ignored,blocking_reason,source_kind,row_key_coverage,expected_total_labelable_step_n,expected_total_binary_step_n,expected_total_neutral_step_n,observed_total_labelable_step_n,observed_total_binary_step_n,observed_total_neutral_step_n,content_hash_validated,schema_validated,row_key_reconciliation_gate,local_cache_used,cache_hash_validated,cache_schema_validated,cache_key_reconciliation_gate,cache_hash_manifest_status
research_plan,ep18_local_planning,required,research_plan,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/research_plan.md,experiments/pending/18_payoff_state_representation_research/research_plan.md,18_payoff_state_representation_research,18A,817,0e5504d192aa92d925977292acf82ec18601f2070dbb536b15f75432fe99d903,pass,pass,False,,,,,,,,,,True,True,,False,,,,
umbrella_requirement,ep18_local_planning,required,umbrella_requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18_payoff_state_representation_research.md,experiments/pending/18_payoff_state_representation_research/requirement_18_payoff_state_representation_research.md,18_payoff_state_representation_research,18A,238,90a21c0e37138310f7d879dab9943b941c96db64327f5cc6b2062df1a3c8b3ba,pass,pass,False,,,,,,,,,,True,True,,False,,,,
requirement,ep18_local_planning,required,requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18a_payoff_state_contract_preflight.md,experiments/pending/18_payoff_state_representation_research/requirement_18a_payoff_state_contract_preflight.md,18_payoff_state_representation_research,18A,931,ae3bc03ec5b7fcb774a47964bfcb81ee4cbdda42d7a39c0572df51429ad38aa5,pass,pass,False,,,,,,,,,,True,True,,False,,,,
seventeen_d_decision,ep17d_decision_input,required,seventeen_d_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_diagnosis_decision.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_diagnosis_decision.csv,17_oracle_action_value_upper_bound_diagnostic,17D,1,dde55f4017cae043c7374542c0b986dc8f3dad12bdd87b77eaaa940f6a4c4b06,pass,pass,False,,,,,,,,,,True,True,,False,,,,
seventeen_d_decision_tree,ep17d_decision_input,required,seventeen_d_decision_tree,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_diagnosis_decision_tree.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_diagnosis_decision_tree.csv,17_oracle_action_value_upper_bound_diagnostic,17D,9,a52139190d2e0db6e167313adc20e8485cf8a73bf877d3dabcb74a0fc8a7565c,pass,pass,False,,,,,,,,,,True,True,,False,,,,
seventeen_d_value_source_attribution,ep17d_decision_input,required,seventeen_d_value_source_attribution,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_value_source_attribution.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_value_source_attribution.csv,17_oracle_action_value_upper_bound_diagnostic,17D,4,f3ae9e58a44642ad1cdd6c542b3ae987fb4d195b6537f96a7c9de3a768721e0c,pass,pass,False,,,,,,,,,,True,True,,False,,,,
seventeen_d_upside_preservation_diagnosis,ep17d_decision_input,required,seventeen_d_upside_preservation_diagnosis,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_upside_preservation_diagnosis.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_upside_preservation_diagnosis.csv,17_oracle_action_value_upper_bound_diagnostic,17D,4,7a193942bf6106e9c90265aa162a39f3798a950f628070f30ae40be863878594,pass,pass,False,,,,,,,,,,True,True,,False,,,,
seventeen_d_path_risk_threshold_diagnosis,ep17d_decision_input,required,seventeen_d_path_risk_threshold_diagnosis,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_path_risk_threshold_diagnosis.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_path_risk_threshold_diagnosis.csv,17_oracle_action_value_upper_bound_diagnostic,17D,5,24d85c35fafd0c4b06c47e2dcf39af23e7e2815a5028179f394e06d96bcaa8f0,pass,pass,False,,,,,,,,,,True,True,,False,,,,
seventeen_d_learned_model_gap_bridge,ep17d_decision_input,required,seventeen_d_learned_model_gap_bridge,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_learned_model_gap_bridge.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_learned_model_gap_bridge.csv,17_oracle_action_value_upper_bound_diagnostic,17D,7,d585f9d3162789c62f37a6ab02126c623c0a00bd40df6c815bbd43109ea2f695,pass,pass,False,,,,,,,,,,True,True,,False,,,,
seventeen_d_search_accounting_audit,ep17d_decision_input,required,seventeen_d_search_accounting_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/search_accounting_audit.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/search_accounting_audit.csv,17_oracle_action_value_upper_bound_diagnostic,17D,1,717123395445740be2c515debb48e9c3a3665091fc7d3130c4c67cc42107734c,pass,pass,False,,,,,,,,,,True,True,,False,,,,
seventeen_d_manifest,ep17d_decision_input,required,seventeen_d_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/17D_oracle_diagnosis_report_manifest.json,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/17D_oracle_diagnosis_report_manifest.json,17_oracle_action_value_upper_bound_diagnostic,17D,1,702616ed2392e00d1bc11182e19a86e97003e08603262940a0278abeb17e0c09,pass,pass,False,,,,,,,,,,True,True,,False,,,,
seventeen_d_engine_manifest,ep17d_decision_input,required,seventeen_d_engine_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/oracle_diagnosis_engine_manifest.json,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/oracle_diagnosis_engine_manifest.json,17_oracle_action_value_upper_bound_diagnostic,17D,1,95d9a8235c346a8e289c3987675e01fe12c768e08c3a29db2c82038fc4fee93d,pass,pass,False,,,,,,,,,,True,True,,False,,,,
seventeen_b_ladder_summary,ep17b_oracle_semantics_input,required,seventeen_b_ladder_summary,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_ladder_summary.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_ladder_summary.csv,17_oracle_action_value_upper_bound_diagnostic,17B,432,d7a9f8ad465cd0b9908348af35a964dc17c7d571be983ac1fce618a7c3475d97,pass,pass,False,,,,,,,,,,True,True,,False,,,,
seventeen_b_high_upside_threshold_freeze,ep17b_oracle_semantics_input,required,seventeen_b_high_upside_threshold_freeze,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_high_upside_threshold_freeze.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_high_upside_threshold_freeze.csv,17_oracle_action_value_upper_bound_diagnostic,17B,3,0ab46b8f5044126bf17456702f8eb9c94d93f3d1ab5f2f96b89c05b52a78c5f2,pass,pass,False,,,,,,,,,,True,True,,False,,,,
seventeen_b_o5_action_selection_proof,ep17b_oracle_semantics_input,required,seventeen_b_o5_action_selection_proof,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_o5_action_selection_proof.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_o5_action_selection_proof.csv,17_oracle_action_value_upper_bound_diagnostic,17B,36,4ca16a5ba518b5e9a62cfaa02f2eaa92681b6f0ebf53fad6176701087c8f8e4f,pass,pass,False,,,,,,,,,,True,True,,False,,,,
seventeen_b_o2_drawdown_threshold_replay,ep17b_oracle_semantics_input,required,seventeen_b_o2_drawdown_threshold_replay,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_o2_drawdown_threshold_replay.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_o2_drawdown_threshold_replay.csv,17_oracle_action_value_upper_bound_diagnostic,17B,15,d9b56f0bf7d84a8700959ef2e1b5550f6aa8e5f44c61febacdc14ad3514753e6,pass,pass,False,,,,,,,,,,True,True,,False,,,,
seventeen_b_neutral_stress,ep17b_oracle_semantics_input,required,seventeen_b_neutral_stress,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_neutral_stress.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_neutral_stress.csv,17_oracle_action_value_upper_bound_diagnostic,17B,72,60932f4d84f5b2705db8b597aafde9f3b4edf776fe8c833469d21e46a4fda330,pass,pass,False,,,,,,,,,,True,True,,False,,,,
seventeen_b_manifest,ep17b_oracle_semantics_input,required,seventeen_b_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/17B_oracle_ladder_replay_manifest.json,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/17B_oracle_ladder_replay_manifest.json,17_oracle_action_value_upper_bound_diagnostic,17B,1,44e4f0b15527697b63ba62b4e791d427cec5587e72a08159fb1b28c37f9d1bd9,pass,pass,False,,,,,,,,,,True,True,,False,,,,
seventeen_b_engine_manifest,ep17b_oracle_semantics_input,required,seventeen_b_engine_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/oracle_ladder_replay_engine_manifest.json,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/oracle_ladder_replay_engine_manifest.json,17_oracle_action_value_upper_bound_diagnostic,17B,1,598c435054259b8850f16e22af3ada1e2543651da67d50477cce350c1150279d,pass,pass,False,,,,,,,,,,True,True,,False,,,,
sixteen_b_base_rate_readout,ep16_denominator_reference,required,sixteen_b_base_rate_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_base_rate_readout.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_base_rate_readout.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16B,135,50c7afd6007d62e462fb023f89ae21dee3d07911aed9201e5ec2d5ebee6ac947,pass,pass,False,,,,,,,,,,True,True,,False,,,,
sixteen_b_label_panel_readout,full_row_level_target_source,required,sixteen_b_label_panel_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_panel_readout.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_panel_readout.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16B,504580,00da5fd9e222c216bc5522d53efce5bde796827d1902e398c9bd1ca68b54edfd,pass,pass,False,,publishable_full_panel,labelable_full,23405.0,17339.0,6066.0,23405.0,17339.0,6066.0,True,True,pass,False,,,,
