run_id,gate_id,route_id,data_requirement,required_paths,required_fields,minimum_coverage,observed_paths,observed_fields,observed_coverage,status,blocking_scope,highest_allowed_role,blocked_arms,fallback_arm,evidence_paths,evidence_hashes,reason
20A_paper_lineage_data_and_replication_contract,wide_qfq_status_gate,wide_qfq_status,wide_qfq_status_gate,see input_artifact_audit,see contract,contract threshold,see input_artifact_audit,audited,see dedicated audit,pass,U_project only,U_paper price-side candidate,U_project only,,freeze dedicated audit,sealed manifest,mechanical pre-outcome availability gate
20A_paper_lineage_data_and_replication_contract,wide_pit_market_cap_gate,wide_pit_market_cap,wide_pit_market_cap_gate,see input_artifact_audit,see contract,contract threshold,see input_artifact_audit,audited,see dedicated audit,fail,exact blocked,exact size capable,exact blocked,,freeze dedicated audit,sealed manifest,mechanical pre-outcome availability gate
20A_paper_lineage_data_and_replication_contract,pit_ep_timing_gate,pit_ep_timing,pit_ep_timing_gate,see input_artifact_audit,see contract,contract threshold,see input_artifact_audit,audited,see dedicated audit,fail,exact blocked,Trend/value exact capable,exact blocked,C2_TRENDPV_RAW_ADAPTATION,freeze dedicated audit,sealed manifest,mechanical pre-outcome availability gate
20A_paper_lineage_data_and_replication_contract,historical_pit_industry_gate,historical_pit_industry,historical_pit_industry_gate,see input_artifact_audit,see contract,contract threshold,see input_artifact_audit,audited,see dedicated audit,fail,2025 proxy,industry exact,2025 proxy,C3_RESMOM_R3_BOARD_ADAPTATION,freeze dedicated audit,sealed manifest,mechanical pre-outcome availability gate
20A_paper_lineage_data_and_replication_contract,board_proxy_gate,board_proxy,board_proxy_gate,see input_artifact_audit,see contract,contract threshold,see input_artifact_audit,audited,see dedicated audit,pass,fallback R2,R3 control,fallback R2,C3A_RESMOM_R2_MARKET_ONLY,freeze dedicated audit,sealed manifest,mechanical pre-outcome availability gate
20A_paper_lineage_data_and_replication_contract,risk_free_vintage_gate,risk_free_vintage,risk_free_vintage_gate,see input_artifact_audit,see contract,contract threshold,see input_artifact_audit,audited,see dedicated audit,fail,raw beta,excess-return exact,raw beta,C3_RESMOM_R3_BOARD_ADAPTATION,freeze dedicated audit,sealed manifest,mechanical pre-outcome availability gate
20A_paper_lineage_data_and_replication_contract,ch3_factor_vintage_gate,ch3_factor_vintage,ch3_factor_vintage_gate,see input_artifact_audit,see contract,contract threshold,see input_artifact_audit,audited,see dedicated audit,fail,R2/R3,CH3 exact,R2/R3,C3_RESMOM_R3_BOARD_ADAPTATION,freeze dedicated audit,sealed manifest,mechanical pre-outcome availability gate
20A_paper_lineage_data_and_replication_contract,paper_exact_history_support_gate,paper_exact_history_support,paper_exact_history_support_gate,see input_artifact_audit,see contract,contract threshold,see input_artifact_audit,audited,see dedicated audit,fail,pipeline QA,paper diagnostic calendar,pipeline QA,,freeze dedicated audit,sealed manifest,mechanical pre-outcome availability gate
20A_paper_lineage_data_and_replication_contract,project_adaptation_gate,project_adaptation,project_adaptation_gate,see input_artifact_audit,see contract,contract threshold,see input_artifact_audit,audited,see dedicated audit,pass,20A blocked,20B/20C specification,20A blocked,,freeze dedicated audit,sealed manifest,mechanical pre-outcome availability gate
20A_paper_lineage_data_and_replication_contract,forward_contract_gate,forward_contract,forward_contract_gate,see input_artifact_audit,see contract,contract threshold,see input_artifact_audit,audited,see dedicated audit,pass,20A blocked,forward beta test,20A blocked,,freeze dedicated audit,sealed manifest,mechanical pre-outcome availability gate
20A_paper_lineage_data_and_replication_contract,cnn_training_support_gate,cnn_training_support,cnn_training_support_gate,see input_artifact_audit,see contract,contract threshold,see input_artifact_audit,audited,see dedicated audit,fail,underpowered,20F evaluable,underpowered,,freeze dedicated audit,sealed manifest,mechanical pre-outcome availability gate
