entry_family,entry_variant_id,entry_signal_condition,entry_execution_assumption,invalidation_rule_id,pre_entry_failure_filter_ids,post_entry_invalidation_audit_ids,primary_leaderboard_eligible
price_hold_after_launch,hold_3d_close_ge_launch_close,launch+3 close >= launch close,next_open,launch_low_stop,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True
price_hold_after_launch,hold_5d_close_ge_launch_close,launch+5 close >= launch close,next_open,launch_low_stop,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True
price_hold_after_launch,hold_10d_close_ge_launch_close,launch+10 close >= launch close,next_open,launch_low_stop,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True
price_hold_after_launch,hold_20d_close_ge_launch_close,launch+20 close >= launch close,next_open,launch_low_stop,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True
price_hold_after_launch,hold_3d_low_ge_launch_low,launch+3 window low >= launch low,next_open,launch_low_stop,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True
price_hold_after_launch,hold_5d_low_ge_launch_low,launch+5 window low >= launch low,next_open,launch_low_stop,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True
price_hold_after_launch,hold_10d_low_ge_launch_low,launch+10 window low >= launch low,next_open,launch_low_stop,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True
price_hold_after_launch,hold_3d_close_above_ema20,launch+3 close >= ema20,next_open,ema20_stop,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True
price_hold_after_launch,hold_5d_close_above_median20,launch+5 close >= median20,next_open,median20_stop,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True
pullback_hold_entry,pullback_3_8_reclaim_ema20,"3%-8% pullback, no launch-low break, money contraction, close reclaims ema20",next_open,pullback_low_stop,break_launch_low_before_entry;volume_close_below_launch_close;long_upper_shadow_volume_failure,break_invalidation_10d;relative_strength_loss_20d;industry_breadth_deterioration_20d;no_10pct_gain_with_12pct_drawdown_20d,True
