run_id,artifact_role,artifact_path,artifact_kind,file_n,byte_size,sha256_or_root_inventory_hash,input_gate
20A_paper_lineage_data_and_replication_contract,benchmark,topics/02_AFML_BIG_WINNER/data/processed/index/benchmark_indices_daily.csv,file,1,998166,5a423eca433727c40eb59799301f31d49065bb17cd3bb49e61074af70d87e54d,pass
20A_paper_lineage_data_and_replication_contract,ep19_b2_budget_registry,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B3_b2_positive_exposure_left_tail_budget_frontier/freeze/b2_arm_registry.csv,file,1,4045,51e33b11f765d07b65f820cb91bf313f74ebafdb11110a34ee36a555b11742af,pass
20A_paper_lineage_data_and_replication_contract,ep19_b2_feature_map,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B0_fast_rule_grid_enrichment_scan/simple_rule_feature_source_map.csv,file,1,5597,2ab33236368bcbf6fd980459a44efba9ad91833e7cbfd7d4fe5a5ad60b6bdcf3,pass
20A_paper_lineage_data_and_replication_contract,ep19_b2_grid_manifest,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B0_fast_rule_grid_enrichment_scan/grid_cell_manifest.csv,file,1,90667,35dbe37d055bb1bde40aa6482e6f8359d286f6c0ce318e779acd6f03e7e04cba,pass
20A_paper_lineage_data_and_replication_contract,ep19_b2_output_hashes,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B0_fast_rule_grid_enrichment_scan/output_hashes_19b0_fast_rule_grid_enrichment_scan.json,file,1,2607,238f317708350c4898b146caefb9e0619117225417130bed8854f4249be7376d,pass
20A_paper_lineage_data_and_replication_contract,ep19_b2_selected_manifest,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B0_fast_rule_grid_enrichment_scan/selected_family_cell_manifest.csv,file,1,1447,49fc5e2ce6dffc5428140ad6c41c102edd275849967a78c400e261bbeb82e3b0,pass
20A_paper_lineage_data_and_replication_contract,ep19_board_index,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/dc_index_2025_20250102_概念板块.csv,file,1,101621,8fcc7b94730cb562ddc070dc3abc9112ce3bd104fbdb6ef95891110fd71aa211,pass
20A_paper_lineage_data_and_replication_contract,ep19_board_mapping,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/metadata/classification_year_snapshot_mapping.csv,file,1,1466,315f0c9dfadc5b4d1a1cab402c0b6e63e426c0b21e7e66b5d804e3f16a40d609,pass
20A_paper_lineage_data_and_replication_contract,ep19_board_member,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/dc_member_2025_20250102.csv,file,1,8205149,e7da98e4f1e38d2f547e3c2e8a99a02aca82345e0201766a4d63e51bd43f0905,pass
20A_paper_lineage_data_and_replication_contract,ep19_board_readme,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/README.md,file,1,3055,bd1911cb9cb1af60e1929a5d2e1672977c94f20789d484c7ffecb1b8d00bd1d3,pass
20A_paper_lineage_data_and_replication_contract,ep19_board_summary,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/metadata/dataset_summary.csv,file,1,406,effe57c55094440830ea45a2cdc98395ecd371a5600b853b98ca32d74ec5c538,pass
20A_paper_lineage_data_and_replication_contract,ep19_cost,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/replay_cost_assumption_freeze.csv,file,1,515,2b164c5aff823b1ebddb679a93936dc3a637b4252ca10c8d4252d92e3bfee7ac,pass
20A_paper_lineage_data_and_replication_contract,ep19_execution,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/entry_execution_convention_audit.csv,file,1,274,09d915c66d4be59d47ba508131e579affb0adb1c78914ccdf9689d733a79654d,pass
20A_paper_lineage_data_and_replication_contract,formula_review_authorization,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/references/papers/formula_review_authorization.json,file,1,1483,84377cb47314b270dc0ea2315c82e9e34dbfc772171f32af8b8330e03ae2ca22,pass
20A_paper_lineage_data_and_replication_contract,market_rule_registry,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/references/market_rules/a_share_price_limit_rules_v1.csv,file,1,5018,236f0fc2e3f6d8f48a2981707862d4cdb015e123f2e6fecd874bbb2e93baa897,pass
20A_paper_lineage_data_and_replication_contract,paper_formula_registry,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/references/papers/paper_formula_registry_draft.csv,file,1,10133,1cbe8549b57349f3be609fa786988e6d2f650cd3124a7933072a77036a755cc2,pass
20A_paper_lineage_data_and_replication_contract,paper_source_manifest,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/references/papers/source_acquisition_manifest.csv,file,1,5973,0c55518aab927a1317ec3c69271e48a3925f14ba49cc34835b9f30ba6bfb9a95,pass
20A_paper_lineage_data_and_replication_contract,project_universe,topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,file,1,495306944,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,pass
20A_paper_lineage_data_and_replication_contract,qfq_root,topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,directory_inventory,4597,985335294,51ebde5a59a3afe1044ae97f7f777525eba74cf9b5b4b4be56e1323c51d46854,pass
20A_paper_lineage_data_and_replication_contract,raw_ohlcv_root,topics/02_AFML_BIG_WINNER/data/raw/akshare/day/raw,directory_inventory,4597,985866364,a3dc107d3cc2ec5e3d0e75b67deefd9fd369917107670d2053cc191ef31f7968,pass
20A_paper_lineage_data_and_replication_contract,requirement,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/requirement_20a_paper_lineage_data_and_replication_contract.md,file,1,90012,a2a4c219abb0380dff62a00fabaffeffda5b97437cae3af870b41d2b5b346730,pass
20A_paper_lineage_data_and_replication_contract,research_plan,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/research_plan.md,file,1,64477,e8478f2331de6cf51ddf72ba4c67bd0416c4ba01764a13d46c950d0acfe4cde5,pass
20A_paper_lineage_data_and_replication_contract,security_master,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/instrument_metadata_target_universe.csv,file,1,412496,3175ae478bbfe9729d2b45cc0c8ca373fe903ee8d9acc9a96fed111441452601,pass
20A_paper_lineage_data_and_replication_contract,sh_name_history_root,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/sh_name_history,directory_inventory,1706,224497,20879d674fe5def485776188c65c916fbfca9cc03f925822ff974f19c6de3159,pass
20A_paper_lineage_data_and_replication_contract,trading_calendar,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/trading_calendar.csv,file,1,96778,1d5ff82a6718fc4e19b95c98456813043b30aeaa1b452d591376b1d427c2b60d,pass
