target_industry,model_task,contract_id,failed_fold_count,failure_due_to_purge_count,failure_due_to_cross_section_count,failure_due_to_inner_validation_count,failure_due_to_positive_count_count,failure_due_to_outer_validation_count,failure_due_to_failure_event_level_count,failure_due_to_model_fit_count,dominant_bottleneck,raw_reasons
汽车,industry_failure_reject_score_lgbm,T0_strict_p0_9_reproduction,5,0,5,0,0,0,0,0,cross_section_count,train_distinct_instrument_years;train_distinct_instruments;train_distinct_instrument_years;train_distinct_instruments;train_distinct_instrument_years;train_distinct_instruments;train_distinct_instruments;train_distinct_instruments
汽车,industry_failure_reject_score_lgbm,T1_fixed_rounds_no_inner_validation,0,0,0,0,0,0,0,0,purge_count,;;;;
汽车,industry_failure_reject_score_lgbm,T2_pooled_inner_validation,2,1,2,0,1,0,1,0,cross_section_count,train_dedup_event_count_after_purge;train_dedup_positive_event_count_after_purge;train_distinct_instrument_years;train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instrument_years;;;
汽车,industry_failure_reject_score_lgbm,T3_grouped_temporal_inner_validation,2,1,2,0,1,0,1,0,cross_section_count,train_dedup_event_count_after_purge;train_dedup_positive_event_count_after_purge;train_distinct_instrument_years;train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instrument_years;;;
汽车,industry_failure_reject_score_lgbm,T4_diagnostic_minimal_instrument_gate,0,0,0,0,0,0,0,0,purge_count,;;;;
汽车,industry_launch_winner_score_lgbm,T0_strict_p0_9_reproduction,5,2,5,1,1,0,0,0,cross_section_count,inner_validation_event_count;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_distinct_instruments;train_distinct_instruments
汽车,industry_launch_winner_score_lgbm,T1_fixed_rounds_no_inner_validation,1,0,1,0,0,0,0,0,cross_section_count,train_distinct_instrument_years;;;;
汽车,industry_launch_winner_score_lgbm,T2_pooled_inner_validation,3,2,3,0,2,0,0,0,cross_section_count,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge;train_distinct_instrument_years;train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instrument_years;;
汽车,industry_launch_winner_score_lgbm,T3_grouped_temporal_inner_validation,3,2,3,0,2,0,0,0,cross_section_count,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge;train_distinct_instrument_years;train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instrument_years;;
汽车,industry_launch_winner_score_lgbm,T4_diagnostic_minimal_instrument_gate,0,0,0,0,0,0,0,0,purge_count,;;;;
电力设备,industry_failure_reject_score_lgbm,T0_strict_p0_9_reproduction,4,2,4,0,0,0,2,0,cross_section_count,train_dedup_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_dedup_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_distinct_instrument_years;train_distinct_instruments;train_distinct_instrument_years;train_distinct_instruments;
电力设备,industry_failure_reject_score_lgbm,T1_fixed_rounds_no_inner_validation,2,1,2,0,0,0,1,0,cross_section_count,train_dedup_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_distinct_instrument_years;;;
电力设备,industry_failure_reject_score_lgbm,T2_pooled_inner_validation,5,3,5,0,1,0,3,0,cross_section_count,train_dedup_event_count_after_purge;train_dedup_positive_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge;train_dedup_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_dedup_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_distinct_instrument_years;train_distinct_instruments;train_distinct_instrument_years
电力设备,industry_failure_reject_score_lgbm,T3_grouped_temporal_inner_validation,5,3,5,0,1,0,3,0,cross_section_count,train_dedup_event_count_after_purge;train_dedup_positive_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge;train_dedup_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_dedup_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_distinct_instrument_years;train_distinct_instruments;train_distinct_instrument_years
电力设备,industry_failure_reject_score_lgbm,T4_diagnostic_minimal_instrument_gate,1,0,1,0,0,0,0,0,cross_section_count,train_distinct_instrument_years;;;;
电力设备,industry_launch_winner_score_lgbm,T0_strict_p0_9_reproduction,5,3,5,3,3,0,0,0,cross_section_count,inner_validation_event_count;inner_validation_positive_count;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge;inner_validation_event_count;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;inner_validation_positive_count;train_distinct_instruments
电力设备,industry_launch_winner_score_lgbm,T1_fixed_rounds_no_inner_validation,2,2,2,0,1,0,0,0,purge_count,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;;;
电力设备,industry_launch_winner_score_lgbm,T2_pooled_inner_validation,4,4,4,1,3,0,0,0,purge_count,inner_validation_positive_count;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;
电力设备,industry_launch_winner_score_lgbm,T3_grouped_temporal_inner_validation,4,4,4,1,3,0,0,0,purge_count,inner_validation_positive_count;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;
电力设备,industry_launch_winner_score_lgbm,T4_diagnostic_minimal_instrument_gate,1,1,1,0,1,0,0,0,purge_count,train_distinct_instrument_years;train_event_count_after_purge;train_positive_count_after_purge;;;;
电子,industry_failure_reject_score_lgbm,T0_strict_p0_9_reproduction,2,1,2,0,0,0,1,0,cross_section_count,train_dedup_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_distinct_instrument_years;train_distinct_instruments;;;
电子,industry_failure_reject_score_lgbm,T1_fixed_rounds_no_inner_validation,0,0,0,0,0,0,0,0,purge_count,;;;;
电子,industry_failure_reject_score_lgbm,T2_pooled_inner_validation,3,2,3,0,1,0,2,0,cross_section_count,train_dedup_event_count_after_purge;train_dedup_positive_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge;train_dedup_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_distinct_instrument_years;train_distinct_instruments;;
电子,industry_failure_reject_score_lgbm,T3_grouped_temporal_inner_validation,3,2,3,0,1,0,2,0,cross_section_count,train_dedup_event_count_after_purge;train_dedup_positive_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge;train_dedup_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_distinct_instrument_years;train_distinct_instruments;;
电子,industry_failure_reject_score_lgbm,T4_diagnostic_minimal_instrument_gate,0,0,0,0,0,0,0,0,purge_count,;;;;
电子,industry_launch_winner_score_lgbm,T0_strict_p0_9_reproduction,4,2,3,1,2,0,0,0,cross_section_count,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_distinct_instruments;inner_validation_positive_count;
电子,industry_launch_winner_score_lgbm,T1_fixed_rounds_no_inner_validation,1,1,1,0,0,0,0,0,purge_count,train_distinct_instrument_years;train_event_count_after_purge;;;;
