target_industry,model_task,contract_id,core_folds_trainable_count,core_folds_total,model_fit_success_core_fold_count,model_non_degenerate_core_fold_count,robustness_2024_trainable,eligible_for_p0_9b_discovery_rerun,not_eligible_reason,recommended_p0_9b_contract_id
汽车,industry_failure_reject_score_lgbm,T0_strict_p0_9_reproduction,0,4,0,0,False,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,T1_fixed_rounds_no_inner_validation
汽车,industry_failure_reject_score_lgbm,T1_fixed_rounds_no_inner_validation,4,4,4,4,True,True,,T1_fixed_rounds_no_inner_validation
汽车,industry_failure_reject_score_lgbm,T2_pooled_inner_validation,2,4,2,2,True,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,T1_fixed_rounds_no_inner_validation
汽车,industry_failure_reject_score_lgbm,T3_grouped_temporal_inner_validation,2,4,2,2,True,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,T1_fixed_rounds_no_inner_validation
汽车,industry_failure_reject_score_lgbm,T4_diagnostic_minimal_instrument_gate,4,4,4,4,True,False,t4_diagnostic_never_eligible,T1_fixed_rounds_no_inner_validation
汽车,industry_launch_winner_score_lgbm,T0_strict_p0_9_reproduction,0,4,0,0,False,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,T1_fixed_rounds_no_inner_validation
汽车,industry_launch_winner_score_lgbm,T1_fixed_rounds_no_inner_validation,3,4,3,3,True,True,,T1_fixed_rounds_no_inner_validation
汽车,industry_launch_winner_score_lgbm,T2_pooled_inner_validation,1,4,1,1,True,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,T1_fixed_rounds_no_inner_validation
汽车,industry_launch_winner_score_lgbm,T3_grouped_temporal_inner_validation,1,4,1,1,True,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,T1_fixed_rounds_no_inner_validation
汽车,industry_launch_winner_score_lgbm,T4_diagnostic_minimal_instrument_gate,4,4,4,4,True,False,t4_diagnostic_never_eligible,T1_fixed_rounds_no_inner_validation
电力设备,industry_failure_reject_score_lgbm,T0_strict_p0_9_reproduction,0,4,0,0,True,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,
电力设备,industry_failure_reject_score_lgbm,T1_fixed_rounds_no_inner_validation,2,4,2,2,True,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,
电力设备,industry_failure_reject_score_lgbm,T2_pooled_inner_validation,0,4,0,0,False,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,
电力设备,industry_failure_reject_score_lgbm,T3_grouped_temporal_inner_validation,0,4,0,0,False,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,
电力设备,industry_failure_reject_score_lgbm,T4_diagnostic_minimal_instrument_gate,3,4,3,3,True,False,t4_diagnostic_never_eligible,
电力设备,industry_launch_winner_score_lgbm,T0_strict_p0_9_reproduction,0,4,0,0,False,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,
电力设备,industry_launch_winner_score_lgbm,T1_fixed_rounds_no_inner_validation,2,4,2,2,True,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,
电力设备,industry_launch_winner_score_lgbm,T2_pooled_inner_validation,0,4,0,0,True,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,
电力设备,industry_launch_winner_score_lgbm,T3_grouped_temporal_inner_validation,0,4,0,0,True,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,
电力设备,industry_launch_winner_score_lgbm,T4_diagnostic_minimal_instrument_gate,3,4,3,3,True,False,t4_diagnostic_never_eligible,
电子,industry_failure_reject_score_lgbm,T0_strict_p0_9_reproduction,2,4,2,2,True,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,T1_fixed_rounds_no_inner_validation
电子,industry_failure_reject_score_lgbm,T1_fixed_rounds_no_inner_validation,4,4,4,4,True,True,,T1_fixed_rounds_no_inner_validation
电子,industry_failure_reject_score_lgbm,T2_pooled_inner_validation,1,4,1,1,True,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,T1_fixed_rounds_no_inner_validation
电子,industry_failure_reject_score_lgbm,T3_grouped_temporal_inner_validation,1,4,1,1,True,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,T1_fixed_rounds_no_inner_validation
电子,industry_failure_reject_score_lgbm,T4_diagnostic_minimal_instrument_gate,4,4,4,4,True,False,t4_diagnostic_never_eligible,T1_fixed_rounds_no_inner_validation
电子,industry_launch_winner_score_lgbm,T0_strict_p0_9_reproduction,0,4,0,0,True,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,T1_fixed_rounds_no_inner_validation
电子,industry_launch_winner_score_lgbm,T1_fixed_rounds_no_inner_validation,3,4,3,3,True,True,,T1_fixed_rounds_no_inner_validation
电子,industry_launch_winner_score_lgbm,T2_pooled_inner_validation,1,4,1,0,True,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,T1_fixed_rounds_no_inner_validation
电子,industry_launch_winner_score_lgbm,T3_grouped_temporal_inner_validation,1,4,1,0,True,False,insufficient_core_trainable_or_model_fit_or_sanity_folds,T1_fixed_rounds_no_inner_validation
电子,industry_launch_winner_score_lgbm,T4_diagnostic_minimal_instrument_gate,4,4,4,4,True,False,t4_diagnostic_never_eligible,T1_fixed_rounds_no_inner_validation
