run_id,formula_id,source_id,paper_page,paper_section,equation_figure_table_anchor,paper_claim_summary,paper_formula_canonical,input_symbols,output_symbols,paper_disclosed,paper_exact_or_project_choice,project_formula_canonical,project_adaptation_reason,implementation_owner_stage,primary_or_sensitivity,claim_ceiling,human_verified,status
21A_paper_lineage_pit_data_and_architecture_contract,P01_INPUT_RETURN_AND_FEATURE_SEQUENCES,reaka_icassp_2026_vor,1,Section 2.1 Problem Formulation,paragraph beginning 'Given a collection of S financial assets',"X_i=[x_i,1,...,x_i,T], y_i=[y_i,1,...,y_i,T]; y_hat_i,t+1=M(X_i^1:t,y_i^1:t)","X_i=[x_i,1,...,x_i,T], y_i=[y_i,1,...,y_i,T]; y_hat_i,t+1=M(X_i^1:t,y_i^1:t)",paper_defined_inputs,paper_defined_outputs,true,paper_grounded_project_choice,x_source and y_source are trailing sequences ending at decision close t,Paper input semantics retained; project fixes PIT timing separately.,21A_freeze_then_21B_21D,primary,paper_architecture_grounded_project_adaptation,true,pass
21A_paper_lineage_pit_data_and_architecture_contract,P02_DUAL_LSTM_ENCODERS,reaka_icassp_2026_vor,2,Section 3.1 Latent State Encoder,Equations (1)-(6),H_y=LSTM_y(y_1:T-1); H_y_plus=LSTM_y(y_2:T); H_x=LSTM_x(x_1:T-1); H_x_plus=LSTM_x(x_2:T),H_y=LSTM_y(y_1:T-1); H_y_plus=LSTM_y(y_2:T); H_x=LSTM_x(x_1:T-1); H_x_plus=LSTM_x(x_2:T),paper_defined_inputs,paper_defined_outputs,true,paper_grounded_project_choice,shared dual LSTM encoders process source and shifted teacher sequences,The paper-disclosed overlapping segments are retained with project-explicit tensor indexing.,21A_freeze_then_21B_21D,primary,paper_architecture_grounded_project_adaptation,true,pass
21A_paper_lineage_pit_data_and_architecture_contract,P03_SIGMOID_FEATURE_GATE,reaka_icassp_2026_vor,2,Section 3.1 Latent State Encoder,Equations (7)-(8) and paragraph after Equation (10),"G=GateNet(H_x); G_plus=GateNet(H_x_plus), where GateNet is an MLP followed by sigmoid","G=GateNet(H_x); G_plus=GateNet(H_x_plus), where GateNet is an MLP followed by sigmoid",paper_defined_inputs,paper_defined_outputs,true,paper_grounded_project_choice,G=sigmoid(Linear(H_x)); the shared GateNet is applied once per source/teacher encoding,Paper leaves MLP depth open; project freezes a single affine layer plus one sigmoid.,21A_freeze_then_21B_21D,primary,paper_architecture_grounded_project_adaptation,true,pass
21A_paper_lineage_pit_data_and_architecture_contract,P04_LATENT_FUSION_Z_AND_Z_PLUS,reaka_icassp_2026_vor,2,Section 3.1 Latent State Encoder,Equations (9)-(10),Z=H_y odot G+H_x odot (1-G); Z_plus=H_y_plus odot G_plus+H_x_plus odot (1-G_plus),Z=H_y odot G+H_x odot (1-G); Z_plus=H_y_plus odot G_plus+H_x_plus odot (1-G_plus),paper_defined_inputs,paper_defined_outputs,true,paper_grounded_project_choice,Z_source and train-only Z_teacher_shifted use the same elementwise gated fusion,Project names source/teacher roles explicitly to prevent inference leakage.,21A_freeze_then_21B_21D,primary,paper_architecture_grounded_project_adaptation,true,pass
21A_paper_lineage_pit_data_and_architecture_contract,P05_OPERATOR_CODEBOOK,reaka_icassp_2026_vor,2,Section 3.2 Adaptive Koopman Selector,"paragraph containing 'codebook K={K1,K2,...,KN}' before Equation (11)","K_codebook={K_1,K_2,...,K_N}","K_codebook={K_1,K_2,...,K_N}",paper_defined_inputs,paper_defined_outputs,true,paper_grounded_project_choice,four learnable 64x64 Koopman matrices form the primary codebook,N and latent dimension are project choices because the paper does not disclose them.,21A_freeze_then_21B_21D,primary,paper_architecture_grounded_project_adaptation,true,pass
21A_paper_lineage_pit_data_and_architecture_contract,P06_GUMBEL_SOFTMAX_SELECTOR,reaka_icassp_2026_vor,2,Section 3.2 Adaptive Koopman Selector,Equations (11)-(13),"a=LeakyReLU(W[Z,H_y]^h); alpha_i=exp((a_i+epsilon_i)/tau)/sum_j exp((a_j+epsilon_j)/tau)","a=LeakyReLU(W[Z,H_y]^h); alpha_i=exp((a_i+epsilon_i)/tau)/sum_j exp((a_j+epsilon_j)/tau)",paper_defined_inputs,paper_defined_outputs,true,paper_grounded_project_choice,state-conditioned LeakyReLU selector with soft Gumbel-Softmax in train and hard argmax in inference,Temperature schedule and hard-inference rule are project-frozen where the paper is silent.,21A_freeze_then_21B_21D,primary,paper_architecture_grounded_project_adaptation,true,pass
21A_paper_lineage_pit_data_and_architecture_contract,P07_SELECTED_KOOPMAN_PROPAGATION,reaka_icassp_2026_vor,2,Section 3.2 Adaptive Koopman Selector,"Equation (14), continuing with Equation (15) on PDF page 3",K_s=sum_i alpha_i K_i; Z_hat_plus=K_s Z,K_s=sum_i alpha_i K_i; Z_hat_plus=K_s Z,paper_defined_inputs,paper_defined_outputs,true,paper_grounded_project_choice,"K_selected[b,t]=sum_i alpha[b,t,i]K_i; Z_hat_shifted=einsum(K_selected,Z_source)",Project makes batch/time axes and matrix multiplication explicit.,21A_freeze_then_21B_21D,primary,paper_architecture_grounded_project_adaptation,true,pass
21A_paper_lineage_pit_data_and_architecture_contract,P08_LATENT_RESIDUAL,reaka_icassp_2026_vor,3,Section 3.3 Dynamic Residual Corrector,"first paragraph, sentence 'Let the residual be R=Z+ - Z_hat+'",R=Z_plus-Z_hat_plus,R=Z_plus-Z_hat_plus,paper_defined_inputs,paper_defined_outputs,true,paper_grounded_project_choice,residual_target=Z_teacher_shifted-Z_hat_shifted is train-only,Project explicitly isolates the true shifted latent from inference ancestors.,21A_freeze_then_21B_21D,primary,paper_architecture_grounded_project_adaptation,true,pass
21A_paper_lineage_pit_data_and_architecture_contract,P09_CONDITIONAL_DDPM_FORWARD_NOISE,reaka_icassp_2026_vor,3,Section 3.3 Dynamic Residual Corrector,Equation (16),"x_t=sqrt(alpha_bar_t)R+sqrt(1-alpha_bar_t)epsilon, epsilon~N(0,I)","x_t=sqrt(alpha_bar_t)R+sqrt(1-alpha_bar_t)epsilon, epsilon~N(0,I)",paper_defined_inputs,paper_defined_outputs,true,paper_grounded_project_choice,x_s=sqrt(alpha_bar_s)residual_target+sqrt(1-alpha_bar_s)epsilon,Variable s is used for diffusion time to avoid collision with market date t.,21A_freeze_then_21B_21D,primary,paper_architecture_grounded_project_adaptation,true,pass
21A_paper_lineage_pit_data_and_architecture_contract,P10_DDPM_EPSILON_LOSS,reaka_icassp_2026_vor,3,Section 3.3 Dynamic Residual Corrector,Equation (17),"L_diff=E_t,epsilon ||epsilon_theta(x_t,t,Z)-epsilon||_2^2","L_diff=E_t,epsilon ||epsilon_theta(x_t,t,Z)-epsilon||_2^2",paper_defined_inputs,paper_defined_outputs,true,paper_grounded_project_choice,"L_diff=MeanValid((epsilon_theta(x_s,s,Z_source)-epsilon)^2)",Project freezes finite-cell mean reduction axes.,21A_freeze_then_21B_21D,primary,paper_architecture_grounded_project_adaptation,true,pass
