artifact_key,artifact_role,required_flag,resolver_alias,resolved_path,relative_path,source_experiment_id,source_phase_id,row_count,sha256,expected_sha256,source_kind,schema_status,read_status,observed_row_n,cache_hash_validated,cache_schema_validated,cache_key_reconciliation_gate,absolute_path_mismatch_ignored,blocking_reason
research_plan,ep18_local_planning,required,research_plan,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/research_plan.md,experiments/pending/18_payoff_state_representation_research/research_plan.md,18_payoff_state_representation_research,18,1135,0687c6cc2f95d4e00323d49988bc738fe4bb51652845e1881380a4ff1b72e412,,publishable_or_local_cache,pass,pass,1135,not_manifested,True,pass,False,
umbrella_requirement,ep18_local_planning,required,umbrella_requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18_payoff_state_representation_research.md,experiments/pending/18_payoff_state_representation_research/requirement_18_payoff_state_representation_research.md,18_payoff_state_representation_research,18,238,90a21c0e37138310f7d879dab9943b941c96db64327f5cc6b2062df1a3c8b3ba,,publishable_or_local_cache,pass,pass,238,not_manifested,True,pass,False,
requirement_18a,ep18_local_planning,required,requirement_18a,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18a_payoff_state_contract_preflight.md,experiments/pending/18_payoff_state_representation_research/requirement_18a_payoff_state_contract_preflight.md,18_payoff_state_representation_research,18A,931,ae3bc03ec5b7fcb774a47964bfcb81ee4cbdda42d7a39c0572df51429ad38aa5,,publishable_or_local_cache,pass,pass,931,not_manifested,True,pass,False,
requirement_18c_refresh,ep18_local_planning,required,requirement_18c_refresh,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18c_refresh_payoff_state_separability_diagnostic.md,experiments/pending/18_payoff_state_representation_research/requirement_18c_refresh_payoff_state_separability_diagnostic.md,18_payoff_state_representation_research,18C,1188,bcb385a987b821b4428ccff4df38680e492670ee91dd7a85bab3700207d5db8e,,publishable_or_local_cache,pass,pass,1188,not_manifested,True,pass,False,
requirement_18f,ep18_local_planning,required,requirement_18f,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18f_payoff_state_oracle_gap_bridge.md,experiments/pending/18_payoff_state_representation_research/requirement_18f_payoff_state_oracle_gap_bridge.md,18_payoff_state_representation_research,18F,1369,6cd52ce6bbadfded1e5ce716296af46d420f988beefc8c5b654b907b2d6efd11,,publishable_or_local_cache,pass,pass,1369,not_manifested,True,pass,False,
eighteen_c_refresh_score_panel,eighteen_c_refresh_score_panel,required,eighteen_c_refresh_score_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/local_cache/18C_refresh_payoff_state_separability_diagnostic/refreshed_payoff_state_score_panel.parquet,experiments/pending/18_payoff_state_representation_research/outputs/local_cache/18C_refresh_payoff_state_separability_diagnostic/refreshed_payoff_state_score_panel.parquet,18_payoff_state_representation_research,18C,23405,a3f431c8b634dcb9d24b31a5ed38574b94e7332672d4861470037837492cfc2c,a3f431c8b634dcb9d24b31a5ed38574b94e7332672d4861470037837492cfc2c,publishable_or_local_cache,pass,pass,23405,exact_match,True,pass,False,
eighteen_c_refresh_score_panel_manifest,eighteen_c_refresh_manifest,required,eighteen_c_refresh_score_panel_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/refreshed_payoff_state_score_panel_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/refreshed_payoff_state_score_panel_manifest.json,18_payoff_state_representation_research,18C,1,9c5242a7c08685f78f1c220a7ff900ba9d6e4d71b856db13e6ea026f77bd03b5,,publishable_or_local_cache,pass,pass,1,not_manifested,True,pass,False,
eighteen_c_refresh_decision,eighteen_c_refresh_handoff,required,eighteen_c_refresh_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/payoff_state_separability_decision.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/payoff_state_separability_decision.csv,18_payoff_state_representation_research,18C,1,b74d089fe07ccd332477353482558c763f0caeb84a316efd3a719740c48bd9ce,b74d089fe07ccd332477353482558c763f0caeb84a316efd3a719740c48bd9ce,publishable_or_local_cache,pass,pass,1,exact_match,True,pass,False,
eighteen_c_refresh_oos_rank_readout,eighteen_c_refresh_handoff,required,eighteen_c_refresh_oos_rank_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/payoff_state_oos_rank_readout.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/payoff_state_oos_rank_readout.csv,18_payoff_state_representation_research,18C,18,09c04d011238eb09f35a21b194e706ef244d941593c89b69055c5fc2fc5d400b,09c04d011238eb09f35a21b194e706ef244d941593c89b69055c5fc2fc5d400b,publishable_or_local_cache,pass,pass,18,exact_match,True,pass,False,
eighteen_c_refresh_decile_monotonicity,eighteen_c_refresh_handoff,required,eighteen_c_refresh_decile_monotonicity,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/payoff_state_decile_monotonicity.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/payoff_state_decile_monotonicity.csv,18_payoff_state_representation_research,18C,60,1dc79d1c990e816b2e10d9b982511e923fcff29b5b5f6f0a2e0f27ef3287d558,1dc79d1c990e816b2e10d9b982511e923fcff29b5b5f6f0a2e0f27ef3287d558,publishable_or_local_cache,pass,pass,60,exact_match,True,pass,False,
