token_id,token_name,token_family,source_family,source_variant,model_task,decision_context,feature_asof_rule,formula_text_raw,formula_text_resolved,threshold_config_key,threshold_value_policy,threshold_source,learned_or_fixed,learned_fold_id,train_threshold_value,train_threshold_quantile,train_threshold_value_identity,train_threshold_value_bucket_hash,threshold_canonicalization_rule,validation_threshold_used,allowed_for_gate_search,allowed_for_lgbm_feature,allowed_in_launch_task,allowed_in_failure_task,observed_reference_used_for_threshold,leakage_audit_pass
tok_repair_higher_low_reclaim,repair_higher_low_reclaim,repair_quality_features,repair_quality_features,repair_higher_low_reclaim,launch_winner_score;failure_reject_score,launch_stratum_event;failure_filter_opportunity,close_derived_signal_date,repair_higher_low_reclaim,repair_higher_low_reclaim,repair_higher_low_reclaim,fixed_policy,fixed_config,fixed,,,,fixed_config:repair_higher_low_reclaim,fe2dfa1c10ae2a99eeb1,exact_fixed_policy,False,True,True,True,True,False,True
tok_money_price_upper_keep,money_price_upper_keep,money_quality_features,money_quality_features,money_price_upper_keep,launch_winner_score;failure_reject_score,launch_stratum_event;failure_filter_opportunity,close_derived_signal_date,money_price_upper_keep,money_price_upper_keep,money_price_upper_keep,fixed_policy,fixed_config,fixed,,,,fixed_config:money_price_upper_keep,2c7ff41d406e0a9a2886,exact_fixed_policy,False,True,True,True,True,False,True
tok_money_expansion_no_distribution,money_expansion_no_distribution,money_quality_features,money_quality_features,money_expansion_no_distribution,launch_winner_score;failure_reject_score,launch_stratum_event;failure_filter_opportunity,close_derived_signal_date,money_expansion_no_distribution,money_expansion_no_distribution,money_expansion_no_distribution,fixed_policy,fixed_config,fixed,,,,fixed_config:money_expansion_no_distribution,b57b64506552add02bde,exact_fixed_policy,False,True,True,True,True,False,True
tok_first_near_limit_upper_close,first_near_limit_upper_close,price_path_features,price_path_features,first_near_limit_upper_close,launch_winner_score;failure_reject_score,launch_stratum_event;failure_filter_opportunity,close_derived_signal_date,first_near_limit_upper_close,first_near_limit_upper_close,first_near_limit_upper_close,fixed_policy,fixed_config,fixed,,,,fixed_config:first_near_limit_upper_close,68f1caa0bda7c259dc2f,exact_fixed_policy,False,True,True,True,True,False,True
tok_high_vol_quality_permit,high_vol_quality_permit,volatility_features,volatility_features,high_vol_quality_permit,launch_winner_score;failure_reject_score,launch_stratum_event;failure_filter_opportunity,close_derived_signal_date,high_vol_quality_permit,high_vol_quality_permit,high_vol_quality_permit,fixed_policy,fixed_config,fixed,,,,fixed_config:high_vol_quality_permit,8f9c3b03b0bd3fe49273,exact_fixed_policy,False,True,True,True,True,False,True
tok_industry_breadth_coherence,industry_breadth_coherence,industry_context_features,industry_context_features,industry_breadth_coherence,launch_winner_score;failure_reject_score,launch_stratum_event;failure_filter_opportunity,close_derived_signal_date,industry_breadth_coherence,industry_breadth_coherence,industry_breadth_coherence,fixed_policy,fixed_config,fixed,,,,fixed_config:industry_breadth_coherence,7907e7ab0b77cdd985c7,exact_fixed_policy,False,True,True,True,True,False,True
tok_market_regime_risk_on,market_regime_risk_on,market_regime_features,market_regime_features,market_regime_risk_on,launch_winner_score;failure_reject_score,launch_stratum_event;failure_filter_opportunity,close_derived_signal_date,market_regime_risk_on,market_regime_risk_on,market_regime_risk_on,fixed_policy,fixed_config,fixed,,,,fixed_config:market_regime_risk_on,a0b1db9722b971f12dd5,exact_fixed_policy,False,True,True,True,True,False,True
tok_high_vol_destructive_warning,high_vol_destructive_warning,volatility_features,volatility_features,high_vol_destructive_warning,launch_winner_score;failure_reject_score,launch_stratum_event;failure_filter_opportunity,close_derived_signal_date,high_vol_destructive_warning,high_vol_destructive_warning,high_vol_destructive_warning,fixed_policy,fixed_config,fixed,,,,fixed_config:high_vol_destructive_warning,f11a102a0b0554ddc17d,exact_fixed_policy,False,True,True,True,True,False,True
tok_market_regime_risk_off,market_regime_risk_off,market_regime_features,market_regime_features,market_regime_risk_off,launch_winner_score;failure_reject_score,launch_stratum_event;failure_filter_opportunity,close_derived_signal_date,market_regime_risk_off,market_regime_risk_off,market_regime_risk_off,fixed_policy,fixed_config,fixed,,,,fixed_config:market_regime_risk_off,1d131f3f91b9cc14d4ad,exact_fixed_policy,False,True,True,True,True,False,True
tok_rank_evaporation_2d,rank_evaporation_2d,rank_deterioration_features,rank_deterioration_features,rank_evaporation_2d,failure_reject_score,failure_filter_opportunity,close_derived_signal_date,rank_evaporation_2d,rank_evaporation_2d,rank_evaporation_2d,fixed_policy,fixed_config,fixed,,,,fixed_config:rank_evaporation_2d,70587e3c1fab6f87925c,exact_fixed_policy,False,True,True,False,True,False,True
tok_rank_evaporation_3d,rank_evaporation_3d,rank_deterioration_features,rank_deterioration_features,rank_evaporation_3d,failure_reject_score,failure_filter_opportunity,close_derived_signal_date,rank_evaporation_3d,rank_evaporation_3d,rank_evaporation_3d,fixed_policy,fixed_config,fixed,,,,fixed_config:rank_evaporation_3d,573bd4787a18b61e0cd6,exact_fixed_policy,False,True,True,False,True,False,True
tok_rank_evaporation_5d,rank_evaporation_5d,rank_deterioration_features,rank_deterioration_features,rank_evaporation_5d,failure_reject_score,failure_filter_opportunity,close_derived_signal_date,rank_evaporation_5d,rank_evaporation_5d,rank_evaporation_5d,fixed_policy,fixed_config,fixed,,,,fixed_config:rank_evaporation_5d,3dc5b390fc36db3bdacc,exact_fixed_policy,False,True,True,False,True,False,True
tok_destructive_high_vol_3d,destructive_high_vol_3d,failure_opportunity_context_flags,failure_opportunity_context_flags,destructive_high_vol_3d,failure_reject_score,failure_filter_opportunity,close_derived_signal_date,destructive_high_vol_3d,destructive_high_vol_3d,destructive_high_vol_3d,fixed_policy,fixed_config,fixed,,,,fixed_config:destructive_high_vol_3d,10cb1e390204f551a378,exact_fixed_policy,False,True,True,False,True,False,True
tok_destructive_high_vol_5d,destructive_high_vol_5d,failure_opportunity_context_flags,failure_opportunity_context_flags,destructive_high_vol_5d,failure_reject_score,failure_filter_opportunity,close_derived_signal_date,destructive_high_vol_5d,destructive_high_vol_5d,destructive_high_vol_5d,fixed_policy,fixed_config,fixed,,,,fixed_config:destructive_high_vol_5d,c5acac39c20d3c0a5c10,exact_fixed_policy,False,True,True,False,True,False,True
tok_gap_fade_break_prior_close_5d,gap_fade_break_prior_close_5d,failure_opportunity_context_flags,failure_opportunity_context_flags,gap_fade_break_prior_close_5d,failure_reject_score,failure_filter_opportunity,close_derived_signal_date,gap_fade_break_prior_close_5d,gap_fade_break_prior_close_5d,gap_fade_break_prior_close_5d,fixed_policy,fixed_config,fixed,,,,fixed_config:gap_fade_break_prior_close_5d,58afd24f394be914e353,exact_fixed_policy,False,True,True,False,True,False,True
tok_money_distribution_5d,money_distribution_5d,failure_opportunity_context_flags,failure_opportunity_context_flags,money_distribution_5d,failure_reject_score,failure_filter_opportunity,close_derived_signal_date,money_distribution_5d,money_distribution_5d,money_distribution_5d,fixed_policy,fixed_config,fixed,,,,fixed_config:money_distribution_5d,b61c3f35077b3ba3de6c,exact_fixed_policy,False,True,True,False,True,False,True
